# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.292 (2021-03-16)
#
U+EAE6		^⿰牙丫$
U+EAE7		^⿰虫笔$
U+EAE8		^⿰甲笔$
U+EAE9		^⿰日过$
U+EAEA		^⿰日荅$
U+EAEB		^⿲𠃛开𠁣$
U+EAEC		^⿱山龰$
U+EAED		^⿰高高$
U+EAEE		^⿱高⿰高高$
U+EAEF		^⿰口鬧$
U+EAF0		^⿱⿲月⿱䜌⿲長馬長戈心$
U+EAF1		^⿰月⿹⿱一戈⿳⿲幺⿱二口幺⿲長馬長心$
U+EAF2		^⿱⿰月⿹⿱一戈⿳⿲幺⿱二口幺⿲長馬長心灬$
U+EAF3		^⿰⿱日月⿹⿱一戈⿳⿲幺⿱二口幺⿲長馬長心$
U+EAF4		^(天 minus right leg)$
U+EAF5		^(天 minus left leg)$
U+EAF6		^⿰𤣩巳$
U+EAF7		^⿱罒丸$
U+EAF8		^⿰𡶩刂$
U+EAF9		^⿳日火山$
U+EAFA		^⿱卌卌$
U+EAFB		^⿱艹⿻廾丶$
U+EAFC		^⿱厶乙$
U+EAFD		^⿰娄页$
U+EAFE		^⿺花再$
U+EAFF		^⿳⿲日䜌干⿲月⿲長馬長戈心$
U+EB00		^⿰午前$
U+EB01		^⿰午后$
U+EB02		^⿰車气$
U+EB03		^⿰車電$
U+EB04		^⿰電𠬝$
U+EB05		^⿰舟气$
U+EB06		^⿰糹電$
U+EB07		^⿺電丁$
U+EB08		^⿺電卢$
U+EB09		^⿺電令$
U+EB0A		^⿰𧾷迷$
U+EB0B		^⿺電羽$
U+EB0C		^⿺气油$
U+EB0D		^⿺气丁$
U+EB0E		^⿺气求$
U+EB0F		^⿺气水$
U+EB10		^⿰冫日$
U+EB11		^⿰日彡$
U+EB12		^⿰〥日$
U+EB13		^⿰〦日$
U+EB14		^⿺七日$
U+EB15		^⿰山回$
U+EB20		^⿱厶丨$
U+EB21		^⿰⿱丶乛亅$
U+EB22		^⿱号土$
U+EB23		^⿰土却$
U+EB24		^⿰土匪$
U+EB25		^⿰土效$
U+EB26		^⿱效土$
U+EB27		^⿰土匯$
U+EB28		^⿰土幹$
U+EB29		^⿰土奪$
U+EB2A		^⿰土⿱雨伯$
U+EB2B		^⿰大⿰丶小$
U+EB2C		^⿺兀睘$
U+EB2D		^⿰山㐫$
U+EB2E		^⿱山長$
U+EB2F		^⿱山便$
U+EB30		^⿱山洪$
U+EB31		^⿰山𡿺$
U+EB32		^⿱山倲$
U+EB33		^⿱山𨠭$
U+EB34		^⿰山廉$
U+EB35		^⿲彳堂亍$
U+EB36		^⿰木斿$
U+EB37		^⿰木毫$
U+EB38		^⿱打母$
U+EB39		^⿲木↷𠃛𠃛$
U+EB3A		^⿰氵孔$
U+EB3B		^⿰氵穵$
U+EB3C		^⿰氵戗$
U+EB3D		^⿰氵怨$
U+EB3E		^⿰氵兜$
U+EB3F		^⿳圃𠆢氺$
U+EB40		^⿰氵兢$
U+EB41		^⿰氵戧$
U+EB42		^⿰氵𨂝$
U+EB43		^⿺化田$
U+EB44		^⿰田念$
U+EB45		^⿰田奔$
U+EB46		^⿰石剌$
U+EB47		^⿱𡨄石$
U+EB48		^⿱准石$
U+EB49		^⿰石竟$
U+EB4A		^⿰石量$
U+EB4B		^⿰石對$
U+EB4C		^⿰石罷$
U+EB4D		^⿰𤣩魯$
U+EB4E		^⿰石彎$
U+EB4F		^⿱穴泘$
U+EB50		^⿱穴沱$
U+EB51		^⿱𥫗頗$
U+EB52		^⿰糹𦊙$
U+EB53		^⿱艹孩$
U+EB54		^⿺東西$
U+EB55		^⿰𧾷宰$
U+EB56		^⿰車宅$
U+EB57		^⿵門朱$
U+EB58		^⿰鱼肙$
U+EB59		^⿺麦替$
U+EB5A		^⿰虫美$
U+EB5B		^⿺毛别$
U+EB5C		^⿰釒丹$
U+EB5D		^⿰釒爹$
U+EB5E		^⿰釒玻$
U+EB5F		^⿰釒炭$
U+EB60		^⿱日阿$
U+EB61		^⿱你雅$
U+EB62		^⿰口孙$
U+EB63		^⿰釒他$
U+EB64		^⿰釒第$
U+EB65		^⿰亻⿱山西$
U+EB66		^⿱坭土$
U+EB67		^⿰口城$
U+EB68		^⿰先聿$
U+EB69		^⿰火烕$
U+EB6A		^⿱艹秬$
U+EB6B		^⿰桑壴$
U+EB6C *		^⿰讠下$
U+EB6D		^⿰礻佥$
U+EB6E		^⿰礻监$
U+EB6F		^⿱夕一$
U+EB70		^⿰車其$
U+EB71		^⿱紂心$
U+EB72		^⿰衤冷$
U+EB73		^⿰口塌$
U+EB74		^⿰口叠$
U+EB75		^⿰口㳫$
U+EB76		^⿰口猪$
U+EB77		
U+EB78		^⿲彳地亍$
U+EB79		^⿲彳黄亍$
U+EB7A		^⿲彳硝亍$
U+EB7B		^⿲彳局亍$
U+EB7C		^⿲彳淡亍$
U+EB7D		^⿲彳緑亍$
U+EB7E		^⿲彳養亍$
U+EB7F		^⿲彳藍亍$
U+EB80		^⿱口小$
U+EB81		^⿰口朴$
U+EB82		^⿰月霄$
U+EB83		^⿰圭頁$
U+EB84		^⿺毛昔$
U+EB85		^⿰勿愛$
U+EB86		^⿰美水$
U+EB87		^⿰亦馬$
U+EB88		^⿰妻母$
U+EB89		^⿰妻某$
U+EB8A		^⿰歹奧$
U+EB8B		^⿰要卜$
U+EB8C		^⿰饣扁$
U+EB8D		^⿰釒簿$
U+EB8E		^⿳亠𫻺𧘇$
U+EB8F		^⿰方侯$
U+EB90		^⿰火茂$
U+EB91		^⿱封石$
U+EB92		^⿰魚徐$
U+EB93		^⿰羊是$
U+EB94		^⿰虫斛$
U+EB95		^⿰香英$
U+EB96		^⿵門离$
U+EB97		^⿰山掌$
U+EB98		^⿰山禁$
U+EB99		^⿰木勿$
U+EB9A		^⿱艹⿰歹魚$
U+EB9B		^⿱艹康$
U+EB9C		^⿰氵⿱㓁林$
U+EB9D		^⿰交交$
U+EB9E		^⿰梪木$
U+EB9F		^⿰羊來$
U+EBA0		^⿱艹舔$
U+EBA1		^⿰米犀$
U+EBA2		^⿰香邑$
U+EBA3		^⿰石的$
U+EBA4		^⿱山枌$
U+EBA5		^⿰火函$
U+EBA6		^⿰方無$
U+EBA7		^⿰豆扁$
U+EBA8		^⿰犭艾$
U+EBA9		^⿰犭榮$
U+EBAA		^⿰石秦$
U+EBAB		^⿰石費$
U+EBAC		^⿰𤣩尚$
U+EBAD		^⿰石覧$
U+EBAE		^⿱水音$
U+EBAF		^⿰氵鯈$
U+EBB0		^⿰㳉兹$
U+EBB1		^⿰𤣩刑$
U+EBB2		^⿰犭黑$
U+EBB3		^⿰山宫$
U+EBB4		^⿱𥫗枯$
U+EBB5		^⿱山壬$
U+EBB6		^⿱宀畾$
U+EBB7		^⿰巫力$
U+EBB8		^⿰土迷$
U+EBB9		^⿰禾柰$
U+EBBA		^⿱山皅$
U+EBBB		^⿰𤣩乾$
U+EBBC		^⿰𤣩直$
U+EBBD		^⿱田巳$
U+EBBE		^⿱山軒$
U+EBBF		^⿰𤣩胥$
U+EBC0		^⿰舍同$
U+EBC1		^⿱山桂$
U+EBC2		^⿱山枉$
U+EBC3		^⿰氵競$
U+EBC4		^⿰牜鹿$
U+EBC5		^⿰訁厓$
U+EBC6		^⿰方足$
U+EBC7		^⿰氵恙$
U+EBC8		^⿰舟堂$
U+EBC9		^⿱𥫗役$
U+EBCA		^⿱氾土$
U+EBCB		^⿱𥫗𨊸$
U+EBCC		^⿰土競$
U+EBCD		^⿱磊山$
U+EBCE		^⿰氵买$
U+EBCF		^⿰土苦$
U+EBD0		^⿰羊閃$
U+EBD1		^⿰女屈$
U+EBD2		^⿱𰏒心$
U+EBD3		^⿱玨下$
U+EBD4		^⿱仍土$
U+EBD5		^⿰歹加$
U+EBD6		^⿰石屏$
U+EBD7		^⿰日榮$
U+EBD8		^⿱山忽$
U+EBD9		^⿰血工$
U+EBDA		^⿰𤣩雍$
U+EBDB		^⿰缶𡭽$
U+EBDC		^⿰火霄$
U+EBDD		^⿱當心$
U+EBDE		^⿱鼓言$
U+EBDF		^⿰土奈$
U+EBE0		^⿰火⿱亠公$
U+EBE1		^⿱肅皿$
U+EBE2		^⿰氵架$
U+EBE3		^⿰馬足$
U+EBE4		^⿰氵𠅤$
U+EBE5		^⿰虫産$
U+EBE6		^⿰𤣩冓$
U+EBE7		^⿰空頁$
U+EBE8		^⿰彳⿸皮木$
U+EBE9		^⿰𤣩宿$
U+EBEA		^⿰馬衣$
U+EBEB		^⿰馬方$
U+EBEC		^⿰山雲$
U+EBED		^⿰木匠$
U+EBEE		^⿰火駁$
U+EBEF		^⿰木⿱山告$
U+EBF0		^⿰阝京$
U+EBF1		^⿰浢木$
U+EBF2		^⿱山仄$
U+EBF3		^⿱拍木$
U+EBF4		^⿺乙孔$
U+EBF5		^⿰魚零$
U+EBF6		^⿰貝幾$
U+EBF7		^⿰氵邢$
U+EBF8		^⿸疒鼓$
U+EBF9		^⿰女⿱医女$
U+EBFA		^⿰扌桊$
U+EBFB		^⿱刀田$
U+EBFC		^⿰圭丙$
U+EBFD		^⿰冓攵$
U+EBFE		^⿱宀振$
U+EBFF		^⿰阝塞$
U+EC00		^⿰𤣩宫$
U+EC01		^⿰氵辦$
U+EC02		^⿰𤣩森$
U+EC03		^⿰火萃$
U+EC04		^⿰釒磨$
U+EC05		^⿰歹卑$
U+EC06		^⿰舟舟$
U+EC07		^⿰文我$
U+EC08		^⿰骨或$
U+EC09		^⿰氵欲$
U+EC0A		^⿸广辛$
U+EC0B		^⿰貝厨$
U+EC0C		^⿱屯口$
U+EC0D		^⿰田岡$
U+EC0E		^⿰火規$
U+EC0F		^⿰馬某$
U+EC10		^⿰忄字$
U+EC11		^⿰土⿱冖干$
U+EC12		^⿱元玉$
U+EC13		^⿱暗灬$
U+EC14		^⿰魚削$
U+EC15		^⿰土蹇$
U+EC16		^⿱此力$
U+EC17		^⿰貝此$
U+EC18		^⿰亻𣢦$
U+EC19		^⿺走韋$
U+EC1A		^⿰馬⿱取隹$
U+EC1B		^⿰虫岸$
U+EC1C		^⿱𥫗猴$
U+EC1D		^⿱艹庥$
U+EC1E		^⿱豩木$
U+EC1F		^⿱艹盟$
U+EC20		^⿰舌婁$
U+EC21		^⿰氵貧$
U+EC22		^⿰𤣩魁$
U+EC23		^⿰土秋$
U+EC24		^⿱山若$
U+EC25		^⿰牜兹$
U+EC26		^⿰犭目$
U+EC27		^⿰虫充$
U+EC28		^⿰牜茲$
U+EC29		^⿰土取$
U+EC2A		^⿰阝差$
U+EC2B		^⿰釒𬙙$
U+EC2C		^⿰卷瓦$
U+EC2D		^⿱艹向$
U+EC2E		^⿰山惠$
U+EC2F		^⿰厓鳥$
U+EC30		^⿻日乚$
U+EC31		^⿰彔阝$
U+EC32		^⿰鼐力$
U+EC33		^⿰舟郎$
U+EC34		^⿰革革$
U+EC35		^⿵門咠$
U+EC36		^⿰魚原$
U+EC37		^⿰馬焱$
U+EC38		^⿰土圍$
U+EC39		^⿰土⿱亠公$
U+EC3A		^⿱倍夷$
U+EC3B		^⿱⿰方方山$
U+EC3C		^⿰土弱$
U+EC3D		^⿰舍舌$
U+EC3E		^⿰氵冠$
U+EC3F		^⿰山筮$
U+EC40		^⿰土⿱夗土$
U+EC41		^⿰犭最$
U+EC42		^⿰山不$
U+EC43		^⿰糹匡$
U+EC44		^⿱直木$
U+EC45		^⿰氵庠$
U+EC46		^⿺麥失$
U+EC47		^⿰火敬$
U+EC48		^⿱木乃$
U+EC49		^⿰𧾷厷$
U+EC4A		^⿰巾鬲$
U+EC4B		^⿲氵木⿱几口$
U+EC4C		^⿺支㐱$
U+EC4D		^⿰牜麻$
U+EC4E		^⿰禾言$
U+EC4F		^⿰末攵$
U+EC50		^⿰赤邑$
U+EC51		^⿰山遂$
U+EC52		^⿱散心$
U+EC53		^⿰𤣩朝$
U+EC54		^⿱山限$
U+EC55		^⿰土閒$
U+EC56		^⿰𤣩⿱𠘧口$
U+EC57		^⿰𤣩啟$
U+EC58		^⿰石曼$
U+EC59		^⿱孰山$
U+EC5A		^⿱倍應$
U+EC5B		^⿱艹肚$
U+EC5C		^⿱𥫗酒$
U+EC5D		^⿰畢阝$
U+EC5E		^⿱興同$
U+EC5F		^⿰氵𥬡$
U+EC60		^⿰口囡$
U+EC61		^⿰𤣩爵$
U+EC62		^⿱知立$
U+EC63		^⿰虫敢$
U+EC64		^⿱𥫗鼓$
U+EC65		^⿰糹夏$
U+EC66		^⿰釒承$
U+EC67		^⿰阝功$
U+EC68		^⿰阝府$
U+EC69		^⿰忄絜$
U+EC6A		^⿱打女$
U+EC6B		^⿰魚屰$
U+EC6C		^⿰馬孟$
U+EC6D		^⿰月景$
U+EC6E		^⿱雨洋$
U+EC6F		^⿰石忠$
U+EC70		^⿰𧾷扈$
U+EC71		^⿰初昔$
U+EC72		^⿰茶番$
U+EC73		^⿰出花$
U+EC74		^⿱𥫗適$
U+EC75		^⿰氵𧶘$
U+EC76		^⿰木邕$
U+EC77		^⿺見齒$
U+EC78		^⿱九土$
U+EC79		^⿱丙土$
U+EC7A		^⿰山氣$
U+EC7B		^⿰禾原$
U+EC7C		^⿰火⿱日隹$
U+EC7D		^⿰忄⿱口𫶧$
U+EC7E		^⿰鬳又$
U+EC7F		^⿰木輿$
U+EC80		^⿱卧尨$
U+EC81		^⿱白灬$
U+EC82		^⿱不兒$
U+EC83		^⿰若鳥$
U+EC84		^⿰勾鳥$
U+EC85		^⿱宓豕$
U+EC86		^⿰犭若$
U+EC87		^⿰彳瓦$
U+EC88		^⿱罒二$
U+EC89		^⿱格兒$
U+EC8A *		^⿰豸若$
U+EC8B		^⿱不亞$
U+EC8C		^⿰赤禾$
U+EC8D		^⿰赤瓦$
U+EC8E		^⿰犭偷$
U+EC8F *		^⿱卧龙$
U+EC90		^⿺鬼禹$
U+EC91		^⿺鬼鬲$
U+EC92		^⿺鬼亨$
U+EC93		^⿺鬼⿱舛日$
U+EC94		^⿺鬼沓$
U+EC95		^⿺鬼禽$
U+EC96		^⿺鬼音$
U+EC97		^⿰口拔$
U+EC98		^⿺鬼帝$
U+EC99		^⿺鬼摩$
U+EC9A		^⿺鬼尼$
U+EC9B		^⿺鬼達$
U+EC9C		^⿺鬼哩$
U+EC9D		^⿺鬼吽$
U+EC9E		^⿺鬼鉢$
U+EC9F		^⿺鬼吒$
U+ECA0		^⿺鬼爾$
U+ECA1		^⿺鬼旭$
U+ECA2		^⿺鬼乎$
U+ECA3		^⿻丅口$
U+ECA4		^⿰口𪫁$
U+ECA5		^⿰口旭$
U+ECA6		^⿰口疊$
U+ECA7		^⿰口廷$
U+ECA8		^⿰口鬱$
U+ECA9		^⿺鬼叱$
U+ECAA		^⿺鬼呼$
U+ECAB		^⿰口枲$
U+ECAC		^⿺鬼暦$
U+ECAD		^⿺鬼當$
U+ECAE		^⿰口⿱？田$
U+ECAF		^⿰口枲$
U+ECB0		^⿸疒⿱賏心$
U+ECB1		^⿸疒⿱𠁊心$
U+ECB2		^⿸疒⿱泉心$
U+ECB3		^⿸疒⿱熒心$
U+ECB4		^⿸疒⿱㚘心$
U+ECB5		^⿸疒⿱朱心$
U+ECB6		^⿸疒⿱豕心$
U+ECB7		^⿸疒悉$
U+ECC0		^⿱非尸$
U+ECC1		^⿱⿱丿罒巫$
U+ECC2 *		^⿰若鸟$
U+ECC3 *		^⿰勾鸟$
U+ED00		^⿱穴𮥼$
U+ED01		^⿰㫺攵$
U+ED02		^⿰扌栽$
U+ED03		^⿰木𠫂$
U+ED04		^⿰木廬$
U+ED05		^⿲氵𡭽乕$
U+ED06		^⿱升山$
U+ED07		^⿰石火$
U+ED08		^⿰阝𪚔$
U+ED09		^⿰石竜$
U+ED0A		^⿳士冖弓$
U+ED0B		^⿱𤇾魚$
U+ED0C		^⿰犭幸$
U+ED0D		^⿰氵𦉍$
U+ED0E		^⿱山寺$
U+ED0F		^⿰禾産$
U+ED10		^⿰豩戈$
U+ED11		^⿰羽延$
U+ED12		^⿰炎廣$
U+ED13		^⿰𤣩匡$
U+ED14		^⿳廿⿴北口目$
U+ED15		^⿰糹危$
U+ED16		^⿰礻巂$
U+ED17		^⿰𤣩辰$
U+ED18		^⿰釒臯$
U+ED19		^⿰氵剝$
U+ED1A		^⿰犭武$
U+ED1B		^⿰𤣩𤔫$
U+ED1C		^⿺虎戊$
U+ED1D		^⿱山坴$
U+ED1E		^⿱穴瑤$
U+ED1F		^⿱放手$
U+ED20		^⿰阝嶴$
U+ED21		^⿰山兆$
U+ED22		^⿰山敦$
U+ED23		^⿳亠⿴𦥑同冚$
U+ED24		^⿱執石$
U+ED25		^⿱⿻十从金$
U+ED26		^⿰庶攵$
U+ED27		^⿹勹答$
U+ED28		^⿱𢼄土$
U+ED29		^⿰白睪$
U+ED2A		^⿰忄獻$
U+ED2B		^⿰訁耴$
U+ED2C		^⿰土兠$
U+ED2D		^⿰石逵$
U+ED2E		^⿱山央$
U+ED2F		^⿰土羕$
U+ED30		^⿰豸睪$
U+ED31		^⿰舟夬$
U+ED32		^⿰氵𤲅$
U+ED33		^⿰飠孝$
U+ED34		^⿱壯鳥$
U+ED35		^⿰魚眷$
U+ED36		^⿰魚呼$
U+ED37		^⿰魚獻$
U+ED38		^⿰鱼献$
U+ED39		^⿱節皿$
U+ED3A		^⿱扎鳥$
U+ED3B		^⿰禾豊$
U+ED3C		^⿰禾盧$
U+ED3D		^⿸尸顛$
U+ED3E		^⿰石菐$
U+ED3F		^⿱宀召$
U+ED40		^⿰氵茦$
U+ED41		^⿰同彡$
U+ED42		^⿰亻秦$
U+ED43		^⿱艹𰛎$
U+ED44		^⿱名心$
U+ED45		^⿰氵⿱䀠高$
U+ED46		^⿱宀𧠛$
U+ED47		^⿰亻䮍$
U+ED48		^⿸厂呂$
U+ED49		^⿰木𨽻$
U+ED4A		^⿰𤣩逮$
U+ED4B		^⿰土逯$
U+ED4C		^⿱木山$
U+ED4D		^⿱日特$
U+ED4E		^⿰礻孫$
U+ED4F		^⿰衤孫$
U+ED50		^⿱山來$
U+ED51		^⿰舍攵$
U+ED52		^⿰亻壑$
U+ED53		^⿰氵督$
U+ED54		^⿰釒坒$
U+ED55		^⿱𥫗桓$
U+ED56		^⿱艹厷$
U+ED57		^⿰火艮$
U+ED58		^⿱⿱⿴𦥑同冖土$
U+ED59		^⿰缶兹$
U+ED5A		^⿰忄舜$
U+ED5B		^⿰𤣩勤$
U+ED5C		^⿱輕貝$
U+ED5D		^⿰釒⿱宀畨$
U+ED5E		^⿰氵⿱夂缶$
U+ED5F		^⿰氵惑$
U+ED60		^⿰訁孚$
U+ED61		^⿰山敫$
U+ED62		^⿱𦥯心$
U+ED63		^⿰賈⿱又韭$
U+ED64		^⿰亻翌$
U+ED65		^⿰亻𰙩$
U+ED66		^⿰杀闌$
U+ED67		^⿱山寶$
U+ED68		^⿱艹⿰甚肙$
U+ED69		^⿳亠品衣$
U+ED6A		^⿱艹滯$
U+ED6B		^⿰犭𥯦$
U+ED6C		^⿰氵撡$
U+ED6D		^⿰氵𢷎$
U+ED6E		^⿰舟昌$
U+ED6F		^⿰忄曶$
U+ED70		^⿰火崩$
U+ED71		^⿰山殷$
U+ED72		^⿰谷可$
U+ED73		^⿰扌輂$
U+ED74		^⿺毛詹$
U+ED75		^⿱𥫗達$
U+ED76		^⿰火𠌶$
U+ED77		^⿰氵鼓$
U+ED78		^⿱山錡$
U+ED79		^⿱穴懵$
U+ED7A		^⿱穴恒$
U+ED7B		^⿱𦥯言$
U+ED7C		^⿰口𦾈$
U+ED7D		^⿰氵䝞$
U+ED7E		^⿱若衣$
U+ED7F		^⿰犭夔$
U+ED80		^⿰土𡩴$
U+ED81		^⿰土窰$
U+ED82		^⿱艹𡗝$
U+ED83		^⿱須土$
U+ED84		^⿰火霅$
U+ED85		^⿰虫虛$
U+ED86		^⿰虫虗$
U+ED87		^⿰糹契$
U+ED88		^⿰馬棗$
U+ED89		^⿱宀幕$
U+ED8A		^⿰舟瓜$
U+ED8B		^⿰石益$
U+ED8C		^⿰釒剿$
U+ED8D		^⿺辶⿱覀隹$
U+ED8E		^⿱冏皿$
U+ED8F		^⿰氵箇$
U+ED90		^⿰亻𫠥$
U+ED91		^⿺辶旱$
U+ED92		^⿰𤣩井$
U+ED93		^⿰氵彝$
U+ED94		^⿱松金$
U+ED95		^⿱殿金$
U+ED96		^⿰犭考$
U+ED97		^⿰𤣩袞$
U+ED98		^⿰𤣩衮$
U+ED99		^⿱山求$
U+ED9A		^⿰土舌$
U+ED9B		^⿰石固$
U+ED9C		^⿰車𫎇$
U+ED9D		^⿰高𠀋$
U+ED9E		^⿰氵囱$
U+ED9F		^⿰土芳$
U+EDA0		^⿳艹爫𠙻⿶凵干$
U+EDA1		^⿰魚奠$
U+EDA2		^⿰𤣩⿱囱木$
U+EDA3		^⿰忄唐$
U+EDA4		^⿱艹慶$
U+EDA5		^⿱⿰牙攵金$
U+EDA6		^⿰嗇阝$
U+EDA7		^⿰釒袌$
U+EDA8		^⿰禾穌$
U+EDA9		^⿰冲中$
U+EDAA		^⿰𤣩⿸厂炎$
U+EDAB		^⿰𤣩受$
U+EDAC		^⿱𡗗衣$
U+EDAD		^⿰氵⿱亠品$
U+EDAE		^⿰日允$
U+EDAF		^⿱雥肉$
U+EDB0		^⿰舟䖜*$
U+EDB1		^⿰日喬$
U+EDB2		^⿰豸介$
U+EDB3		^⿰豸舌$
U+EDB4		^⿵門豩$
U+EDB5		^⿰虫聊$
U+EDB6		^⿰眾鳥$
U+EDB7		^⿰牛互$
U+EDB8		^⿱昍炗$
U+EDB9		^⿰山㕓$
U+EDBA		^⿰土莽$
U+EDBB		^⿰扌尉$
U+EDBC		^⿰山胡$
U+EDBD		^⿰扌虽$
U+EDBE		^⿰卆鳥$
U+EDBF		^⿰山忩$
U+EDC0		^⿰氵向$
U+EDC1		^⿰目⿳日⿻𠈌丨丂$
U+EDC2		^⿱𥫗淺$
U+EDC3		^⿱旅土$
U+EDC4		^⿱冖𦔳$
U+EDC5		^⿱日耴$
U+EDC6		^⿰糹普$
U+EDC7		^⿰異羽$
U+EDC8		^⿱金坐$
U+EDC9		^⿱𭸾金$
U+EDCA		^⿸广享$
U+EDCB		^⿰𤣩慶$
U+EDCC		^⿰車武$
U+EDCD		^⿰亻政$
U+EDCE		^⿰𧾷幾$
U+EDCF		^⿱宀丙$
U+EDD0		^⿰炎邑$
U+EDD1		^⿰耒互*$
U+EDD2		^⿰礻爲$
U+EDD3		^⿰亻宓$
U+EDD4		^⿰日盍$
U+EDD5		^⿺毛其$
U+EDD6		^⿰木譽$
U+EDD7		^⿰鳥巂$
U+EDD8		^⿰石⿱雨𡭴$
U+EDD9		^⿰蕭風$
U+EDDA		^⿺風录$
U+EDDB		^⿺風光$
U+EDDC		^⿱陰日$
U+EDDD		^⿰讠本$
U+EDDE		^⿰氵疊$
U+EDDF		^⿰山喿$
U+EDE0		^⿱比舟$
U+EDE1		^⿱山⿶凵氺八承$
U+EDE2		^⿰干禹$
U+EDE3		^⿺毛失$
U+EDE4		^⿰扌襲$
U+EDE5		^⿱荔十$
U+EDE6		^⿱𥫗賓$
U+EDE7		^⿰瑟風$
U+EDE8		^⿱丷丁$
U+EDE9		^⿰糹⿻王丷$
U+EDEA		^⿰車⿻王丷$
U+EDEB		^⿰忄⿳十罒⿱一𧘇$
U+EDEC		^⿰䏍长$
U+EDED		^⿱罒⿰䏍长$
U+EDEE		^⿰礻𠫹$
U+EDEF		^⿰日𦻏$
U+EDF0		^⿰木㱔$
U+EDF1		^⿱鼎金$
U+EDF2		^⿱艹鷄$
U+EDF3		^⿲𤣩魚亍$
U+EDF4		^⿰礻𮧯$
U+EDF5		^⿰冫向$
U+EDF6		^⿰釒勳$
U+EDF7		^⿰羽宏$
U+EDF8		^⿰馬龎$
U+EDF9		^⿰土弇$
U+EDFA		^⿰芻夋$
U+EDFB		^⿰冓楚$
U+EDFC		^⿰巾飛$
U+EDFD		^⿰忄飛$
U+EDFE		^⿱日太$
U+EDFF		^⿰糹造$
U+EE00		^⿰犭僕$
U+EE01		^⿰山疊$
U+EE02		^⿰山𡾔$
U+EE03		^⿱棥𠚍$
U+EE04		^⿱𥝢⿸厂牛$
U+EE05		^⿰馬脊$
U+EE06		^⿱罒旬$
U+EE07		^⿰采隶$
U+EE08		^⿰采聿$
U+EE09		^⿰籴聿$
U+EE0A		^⿰糹隱$
U+EE0B		^⿰釒⿱幺夊$
U+EE0C		^⿰礻咢$
U+EE0D		^⿰舟罷$
U+EE0E		^⿳⿳亠口冖口酉$
U+EE0F		^⿱艹潢$
U+EE10		^⿰火違$
U+EE11		^⿰木臬$
U+EE12		^⿰木匵$
U+EE13		^⿸户邕$
U+EE14		^⿰山爵$
U+EE15		^⿰氵阤$
U+EE16		^⿰土𡍏$
U+EE17		^⿰氵勢$
U+EE18		^⿰山化$
U+EE19		^⿰骨塟$
U+EE1A		^⿱少馬$
U+EE1B		^⿰㐫力$
U+EE1C		^⿰忄鼠$
U+EE1D		^⿱口厸$
U+EE1E		^⿰幸欠$
U+EE1F		^⿰魚？$
U+EE20		^⿰石⿱日樂$
U+EE21		^⿰礻㬎$
U+EE22		^⿱艹隼$
U+EE23		^⿰木㔊$
U+EE24		^⿰氵胄$
U+EE25		^⿰口扈$
U+EE26		^⿰阝扈$
U+EE27		^⿰讀隹$
U+EE28		^⿰彳𠃴$
U+EE29		^⿱日遂$
U+EE2A		^⿰礻垂$
U+EE2B		^⿰𤣩冀$
U+EE2C		^⿰日侍$
U+EE2D		^⿱⿰臣⿱𠂉鹵玉$
U+EE2E		^⿰山兾$
U+EE2F		^⿰山冀$
U+EE30		^⿰木㸑$
U+EE31		^⿰羽㢲$
U+EE32		^⿰𤣩啓$
U+EE33		^⿳𰀉冖⿱处木$
U+EE34		^⿰訁貪$
U+EE35		^⿰氵鍳$
U+EE36		^⿰釒犂$
U+EE37		^⿰車參$
U+EE38		^⿰土翰$
U+EE39		^⿰舟參$
U+EE3A		^⿱旅一$
U+EE3B		^⿱霝再$
U+EE3C		^⿰氵賚$
U+EE3D		^⿰氵賫$
U+EE3E		^⿰禾霍$
U+EE3F		^⿰木佘$
U+EE40		^⿰黑日$
U+EE41		^⿰含面$
U+EE42		^⿰鳥羲$
U+EE43		^⿱艹𣡸$
U+EE44		^⿰木與$
U+EE45 *		^⿰忄縈$
U+EE46 *		^⿱雨池$
U+EE47 *		^⿰日恭$
U+EF40		^⿱艹耗$
U+EF41		^⿱艹⿰禾责$
U+EF42		^⿱艹辣$
U+EF43		^⿱大𣄼$
U+EF44		^⿱口地$
U+EF45		^⿱地口$
U+EF46		^⿲彳古亍$
U+EF47		^⿵门电$
U+EF48		^⿰氵丐$
U+EF49		^⿱宀才$
U+EF4A		^⿱宀坎$
U+EF4B		^⿱宀总$
U+EF4C		^⿰木𰿖$
U+EF4D		^⿰石农$
U+EF4E		^⿱泉双$
U+EF4F		^⿱𥫗𠮮$
U+EF50		^⿱𥫗厽$
U+EF51		^⿱𥫗耙$
U+EF52		^⿱𥫗綦$
U+EF53		^⿱雨乳$
U+EF54		^⿱雨泘$
U+EF55		^⿱雨浮$
U+EF56		^⿱石平$
U+EF57		^⿱𣲙心$
U+EF58		^⿱龙井$
U+EF59		^⿱龙光$
U+EF5A		^⿱介虫$
U+EF5B *		^⿰山⿸尸夌$
U+EF60		^⿰訁八$
U+EF61		^⿰黍魚$
U+EF62		^⿱艹曆$
U+EF63		^⿸尸彖$
U+EF64		^⿰𧾷⿱夅夊$
